时间,Order0,Order1,Order2,Order3,Order4
17:14:06,0,264,202,71,107,
17:14:07,0,264,202,71,107,
17:14:08,0,264,202,71,107,
17:14:09,0,264,202,71,107,
17:14:10,0,264,202,71,107,
17:14:11,0,264,202,71,107,
17:14:12,0,264,202,71,107,
17:14:13,0,264,202,71,107,
17:14:14,0,264,202,71,107,
17:14:15,0,264,202,71,107,
17:14:16,0,264,202,71,107,
17:14:17,0,264,202,71,107,
17:14:18,0,264,202,71,107,
17:14:19,0,264,202,71,107,
17:14:20,0,264,202,71,107,
17:14:21,0,264,202,71,107,
17:14:22,0,264,202,71,107,
17:14:23,0,264,202,71,107,
17:14:24,0,264,202,71,107,
17:14:25,0,264,202,71,107,
